kp,target_rpm,steady_rpm,steady_error_rpm,steady_error_percent,steady_std_rpm,peak_rpm,overshoot_percent,rise_time_s,target_settling_time_s,response_settling_time_s
1.0,180.0,44.70640000000001,135.2936,75.1631111111111,1.7925567317001814,46.42,0.0,,,0.1
2.0,180.0,78.35579999999999,101.64420000000001,56.469,1.7445135815933435,85.71,0.0,,,0.1
3.0,180.0,98.1742,81.8258,45.458777777777776,1.7986578497885746,114.28,0.0,,,0.1
4.0,180.0,111.10269999999997,68.89730000000003,38.27627777777779,2.263276366043465,142.85,0.0,,,0.18
5.0,180.0,121.63629999999999,58.36370000000001,32.42427777777778,2.1453245639875775,167.85,0.0,0.019999999999999997,,7.28
6.0,180.0,127.85599999999997,52.144000000000034,28.968888888888905,2.325280041785774,185.71,3.172222222222227,0.019999999999999997,,0.24
7.0,180.0,133.7822,46.21780000000001,25.676555555555563,2.8442561577518175,196.42,9.122222222222215,0.019999999999999997,,0.24
8.0,180.0,142.21129353233832,37.78870646766168,20.9937258153676,4.341185013151123,4378.57,2332.538888888889,0.019999999999999997,,9.7
9.0,180.0,142.3865,37.61349999999999,20.896388888888882,3.8540644621993336,217.85,21.027777777777775,0.019999999999999997,,
10.0,180.0,145.1383,34.86170000000001,19.36761111111112,5.7340679682618365,217.85,21.027777777777775,0.0,,9.56
11.0,180.0,149.2097,30.790300000000002,17.105722222222223,28.0006523897663,232.14,28.966666666666658,0.019999999999999997,,
12.0,180.0,149.6811764705882,30.318823529411787,16.843790849673216,40.652619788051986,228.57,26.98333333333333,0.019999999999999997,,
13.0,180.0,155.7102,24.289800000000014,13.49433333333334,34.194941588817294,225.0,25.0,0.0,,
14.0,180.0,157.5676,22.4324,12.462444444444445,37.70470581567326,228.57,26.98333333333333,0.019999999999999997,,10.0
15.0,180.0,161.28189999999998,18.71810000000002,10.398944444444457,46.86090948506737,235.71,30.950000000000006,0.019999999999999997,,
16.0,180.0,164.60269999999997,15.39730000000003,8.554055555555571,47.9195502764474,242.85,34.916666666666664,0.019999999999999997,,
