time_ms,target_rpm,measured_rpm,error,pwm
20,180.00,0.00,180.00,360.00
40,180.00,28.57,151.42,302.85
60,180.00,75.00,105.00,210.00
80,180.00,85.71,94.28,188.57
100,180.00,82.14,97.85,195.71
120,180.00,78.57,101.42,202.85
140,180.00,78.57,101.42,202.85
160,180.00,78.57,101.42,202.85
180,180.00,75.00,105.00,210.00
200,180.00,82.14,97.85,195.71
220,180.00,78.57,101.42,202.85
240,180.00,78.57,101.42,202.85
260,180.00,78.57,101.42,202.85
280,180.00,78.57,101.42,202.85
300,180.00,78.57,101.42,202.85
320,180.00,78.57,101.42,202.85
340,180.00,78.57,101.42,202.85
360,180.00,78.57,101.42,202.85
380,180.00,78.57,101.42,202.85
400,180.00,82.14,97.85,195.71
420,180.00,78.57,101.42,202.85
440,180.00,75.00,105.00,210.00
460,180.00,82.14,97.85,195.71
480,180.00,78.57,101.42,202.85
500,180.00,78.57,101.42,202.85
520,180.00,78.57,101.42,202.85
540,180.00,78.57,101.42,202.85
560,180.00,78.57,101.42,202.85
580,180.00,78.57,101.42,202.85
600,180.00,78.57,101.42,202.85
620,180.00,82.14,97.85,195.71
640,180.00,75.00,105.00,210.00
660,180.00,78.57,101.42,202.85
680,180.00,82.14,97.85,195.71
700,180.00,78.57,101.42,202.85
720,180.00,78.57,101.42,202.85
740,180.00,78.57,101.42,202.85
760,180.00,78.57,101.42,202.85
780,180.00,78.57,101.42,202.85
800,180.00,78.57,101.42,202.85
820,180.00,78.57,101.42,202.85
840,180.00,78.57,101.42,202.85
860,180.00,78.57,101.42,202.85
880,180.00,78.57,101.42,202.85
900,180.00,78.57,101.42,202.85
920,180.00,82.14,97.85,195.71
940,180.00,75.00,105.00,210.00
960,180.00,78.57,101.42,202.85
980,180.00,78.57,101.42,202.85
1000,180.00,78.57,101.42,202.85
1020,180.00,78.57,101.42,202.85
1040,180.00,75.00,105.00,210.00
1060,180.00,78.57,101.42,202.85
1080,180.00,75.00,105.00,210.00
1100,180.00,78.57,101.42,202.85
1120,180.00,78.57,101.42,202.85
1140,180.00,78.57,101.42,202.85
1160,180.00,75.00,105.00,210.00
1180,180.00,78.57,101.42,202.85
1200,180.00,78.57,101.42,202.85
1220,180.00,78.57,101.42,202.85
1240,180.00,78.57,101.42,202.85
1260,180.00,78.57,101.42,202.85
1280,180.00,75.00,105.00,210.00
1300,180.00,82.14,97.85,195.71
1320,180.00,78.57,101.42,202.85
1340,180.00,75.00,105.00,210.00
1360,180.00,78.57,101.42,202.85
1380,180.00,78.57,101.42,202.85
1400,180.00,78.57,101.42,202.85
1420,180.00,78.57,101.42,202.85
1440,180.00,78.57,101.42,202.85
1460,180.00,78.57,101.42,202.85
1480,180.00,78.57,101.42,202.85
1500,180.00,78.57,101.42,202.85
1520,180.00,75.00,105.00,210.00
1540,180.00,82.14,97.85,195.71
1560,180.00,75.00,105.00,210.00
1580,180.00,82.14,97.85,195.71
1600,180.00,75.00,105.00,210.00
1620,180.00,82.14,97.85,195.71
1640,180.00,78.57,101.42,202.85
1660,180.00,75.00,105.00,210.00
1680,180.00,78.57,101.42,202.85
1700,180.00,78.57,101.42,202.85
1720,180.00,82.14,97.85,195.71
1740,180.00,78.57,101.42,202.85
1760,180.00,75.00,105.00,210.00
1780,180.00,78.57,101.42,202.85
1800,180.00,78.57,101.42,202.85
1820,180.00,78.57,101.42,202.85
1840,180.00,78.57,101.42,202.85
1860,180.00,78.57,101.42,202.85
1880,180.00,78.57,101.42,202.85
1900,180.00,78.57,101.42,202.85
1920,180.00,78.57,101.42,202.85
1940,180.00,78.57,101.42,202.85
1960,180.00,78.57,101.42,202.85
1980,180.00,78.57,101.42,202.85
2000,180.00,78.57,101.42,202.85
2020,180.00,78.57,101.42,202.85
2040,180.00,78.57,101.42,202.85
2060,180.00,78.57,101.42,202.85
2080,180.00,78.57,101.42,202.85
2100,180.00,78.57,101.42,202.85
2120,180.00,78.57,101.42,202.85
2140,180.00,78.57,101.42,202.85
2160,180.00,78.57,101.42,202.85
2180,180.00,75.00,105.00,210.00
2200,180.00,78.57,101.42,202.85
2220,180.00,82.14,97.85,195.71
2240,180.00,78.57,101.42,202.85
2260,180.00,75.00,105.00,210.00
2280,180.00,78.57,101.42,202.85
2300,180.00,78.57,101.42,202.85
2320,180.00,78.57,101.42,202.85
2340,180.00,78.57,101.42,202.85
2360,180.00,78.57,101.42,202.85
2380,180.00,78.57,101.42,202.85
2400,180.00,78.57,101.42,202.85
2420,180.00,78.57,101.42,202.85
2440,180.00,75.00,105.00,210.00
2460,180.00,82.14,97.85,195.71
2480,180.00,78.57,101.42,202.85
2500,180.00,75.00,105.00,210.00
2520,180.00,78.57,101.42,202.85
2540,180.00,82.14,97.85,195.71
2560,180.00,75.00,105.00,210.00
2580,180.00,78.57,101.42,202.85
2600,180.00,78.57,101.42,202.85
2620,180.00,78.57,101.42,202.85
2640,180.00,78.57,101.42,202.85
2660,180.00,78.57,101.42,202.85
2680,180.00,78.57,101.42,202.85
2700,180.00,78.57,101.42,202.85
2720,180.00,78.57,101.42,202.85
2740,180.00,78.57,101.42,202.85
2760,180.00,75.00,105.00,210.00
2780,180.00,78.57,101.42,202.85
2800,180.00,82.14,97.85,195.71
2820,180.00,75.00,105.00,210.00
2840,180.00,78.57,101.42,202.85
2860,180.00,78.57,101.42,202.85
2880,180.00,78.57,101.42,202.85
2900,180.00,78.57,101.42,202.85
2920,180.00,78.57,101.42,202.85
2940,180.00,78.57,101.42,202.85
2960,180.00,78.57,101.42,202.85
2980,180.00,75.00,105.00,210.00
3000,180.00,78.57,101.42,202.85
3020,180.00,78.57,101.42,202.85
3040,180.00,78.57,101.42,202.85
3060,180.00,78.57,101.42,202.85
3080,180.00,78.57,101.42,202.85
3100,180.00,75.00,105.00,210.00
3120,180.00,78.57,101.42,202.85
3140,180.00,82.14,97.85,195.71
3160,180.00,75.00,105.00,210.00
3180,180.00,78.57,101.42,202.85
3200,180.00,78.57,101.42,202.85
3220,180.00,78.57,101.42,202.85
3240,180.00,75.00,105.00,210.00
3260,180.00,78.57,101.42,202.85
3280,180.00,78.57,101.42,202.85
3300,180.00,78.57,101.42,202.85
3320,180.00,78.57,101.42,202.85
3340,180.00,78.57,101.42,202.85
3360,180.00,75.00,105.00,210.00
3380,180.00,78.57,101.42,202.85
3400,180.00,78.57,101.42,202.85
3420,180.00,78.57,101.42,202.85
3440,180.00,78.57,101.42,202.85
3460,180.00,78.57,101.42,202.85
3480,180.00,78.57,101.42,202.85
3500,180.00,78.57,101.42,202.85
3520,180.00,75.00,105.00,210.00
3540,180.00,78.57,101.42,202.85
3560,180.00,78.57,101.42,202.85
3580,180.00,78.57,101.42,202.85
3600,180.00,78.57,101.42,202.85
3620,180.00,78.57,101.42,202.85
3640,180.00,78.57,101.42,202.85
3660,180.00,75.00,105.00,210.00
3680,180.00,78.57,101.42,202.85
3700,180.00,82.14,97.85,195.71
3720,180.00,75.00,105.00,210.00
3740,180.00,78.57,101.42,202.85
3760,180.00,78.57,101.42,202.85
3780,180.00,78.57,101.42,202.85
3800,180.00,78.57,101.42,202.85
3820,180.00,78.57,101.42,202.85
3840,180.00,78.57,101.42,202.85
3860,180.00,75.00,105.00,210.00
3880,180.00,78.57,101.42,202.85
3900,180.00,78.57,101.42,202.85
3920,180.00,78.57,101.42,202.85
3940,180.00,78.57,101.42,202.85
3960,180.00,78.57,101.42,202.85
3980,180.00,78.57,101.42,202.85
4000,180.00,78.57,101.42,202.85
4020,180.00,78.57,101.42,202.85
4040,180.00,75.00,105.00,210.00
4060,180.00,78.57,101.42,202.85
4080,180.00,82.14,97.85,195.71
4100,180.00,75.00,105.00,210.00
4120,180.00,78.57,101.42,202.85
4140,180.00,78.57,101.42,202.85
4160,180.00,78.57,101.42,202.85
4180,180.00,78.57,101.42,202.85
4200,180.00,82.14,97.85,195.71
4220,180.00,75.00,105.00,210.00
4240,180.00,78.57,101.42,202.85
4260,180.00,78.57,101.42,202.85
4280,180.00,78.57,101.42,202.85
4300,180.00,78.57,101.42,202.85
4320,180.00,78.57,101.42,202.85
4340,180.00,78.57,101.42,202.85
4360,180.00,78.57,101.42,202.85
4380,180.00,78.57,101.42,202.85
4400,180.00,78.57,101.42,202.85
4420,180.00,78.57,101.42,202.85
4440,180.00,78.57,101.42,202.85
4460,180.00,78.57,101.42,202.85
4480,180.00,78.57,101.42,202.85
4500,180.00,78.57,101.42,202.85
4520,180.00,78.57,101.42,202.85
4540,180.00,78.57,101.42,202.85
4560,180.00,78.57,101.42,202.85
4580,180.00,78.57,101.42,202.85
4600,180.00,78.57,101.42,202.85
4620,180.00,75.00,105.00,210.00
4640,180.00,78.57,101.42,202.85
4660,180.00,82.14,97.85,195.71
4680,180.00,78.57,101.42,202.85
4700,180.00,75.00,105.00,210.00
4720,180.00,78.57,101.42,202.85
4740,180.00,78.57,101.42,202.85
4760,180.00,78.57,101.42,202.85
4780,180.00,78.57,101.42,202.85
4800,180.00,78.57,101.42,202.85
4820,180.00,78.57,101.42,202.85
4840,180.00,78.57,101.42,202.85
4860,180.00,75.00,105.00,210.00
4880,180.00,82.14,97.85,195.71
4900,180.00,78.57,101.42,202.85
4920,180.00,78.57,101.42,202.85
4940,180.00,75.00,105.00,210.00
4960,180.00,78.57,101.42,202.85
4980,180.00,78.57,101.42,202.85
5000,180.00,82.14,97.85,195.71
5020,180.00,75.00,105.00,210.00
5040,180.00,78.57,101.42,202.85
5060,180.00,78.57,101.42,202.85
5080,180.00,78.57,101.42,202.85
5100,180.00,78.57,101.42,202.85
5120,180.00,78.57,101.42,202.85
5140,180.00,78.57,101.42,202.85
5160,180.00,78.57,101.42,202.85
5180,180.00,75.00,105.00,210.00
5200,180.00,78.57,101.42,202.85
5220,180.00,82.14,97.85,195.71
5240,180.00,78.57,101.42,202.85
5260,180.00,75.00,105.00,210.00
5280,180.00,78.57,101.42,202.85
5300,180.00,78.57,101.42,202.85
5320,180.00,78.57,101.42,202.85
5340,180.00,78.57,101.42,202.85
5360,180.00,78.57,101.42,202.85
5380,180.00,75.00,105.00,210.00
5400,180.00,78.57,101.42,202.85
5420,180.00,78.57,101.42,202.85
5440,180.00,78.57,101.42,202.85
5460,180.00,78.57,101.42,202.85
5480,180.00,78.57,101.42,202.85
5500,180.00,78.57,101.42,202.85
5520,180.00,78.57,101.42,202.85
5540,180.00,78.57,101.42,202.85
5560,180.00,78.57,101.42,202.85
5580,180.00,78.57,101.42,202.85
5600,180.00,78.57,101.42,202.85
5620,180.00,75.00,105.00,210.00
5640,180.00,78.57,101.42,202.85
5660,180.00,78.57,101.42,202.85
5680,180.00,78.57,101.42,202.85
5700,180.00,78.57,101.42,202.85
5720,180.00,78.57,101.42,202.85
5740,180.00,78.57,101.42,202.85
5760,180.00,78.57,101.42,202.85
5780,180.00,78.57,101.42,202.85
5800,180.00,78.57,101.42,202.85
5820,180.00,78.57,101.42,202.85
5840,180.00,78.57,101.42,202.85
5860,180.00,78.57,101.42,202.85
5880,180.00,78.57,101.42,202.85
5900,180.00,75.00,105.00,210.00
5920,180.00,78.57,101.42,202.85
5940,180.00,82.14,97.85,195.71
5960,180.00,75.00,105.00,210.00
5980,180.00,78.57,101.42,202.85
6000,180.00,78.57,101.42,202.85
6020,180.00,78.57,101.42,202.85
6040,180.00,78.57,101.42,202.85
6060,180.00,78.57,101.42,202.85
6080,180.00,78.57,101.42,202.85
6100,180.00,78.57,101.42,202.85
6120,180.00,78.57,101.42,202.85
6140,180.00,78.57,101.42,202.85
6160,180.00,75.00,105.00,210.00
6180,180.00,78.57,101.42,202.85
6200,180.00,82.14,97.85,195.71
6220,180.00,75.00,105.00,210.00
6240,180.00,78.57,101.42,202.85
6260,180.00,78.57,101.42,202.85
6280,180.00,78.57,101.42,202.85
6300,180.00,78.57,101.42,202.85
6320,180.00,78.57,101.42,202.85
6340,180.00,78.57,101.42,202.85
6360,180.00,78.57,101.42,202.85
6380,180.00,78.57,101.42,202.85
6400,180.00,75.00,105.00,210.00
6420,180.00,78.57,101.42,202.85
6440,180.00,82.14,97.85,195.71
6460,180.00,75.00,105.00,210.00
6480,180.00,78.57,101.42,202.85
6500,180.00,82.14,97.85,195.71
6520,180.00,75.00,105.00,210.00
6540,180.00,78.57,101.42,202.85
6560,180.00,78.57,101.42,202.85
6580,180.00,78.57,101.42,202.85
6600,180.00,78.57,101.42,202.85
6620,180.00,78.57,101.42,202.85
6640,180.00,78.57,101.42,202.85
6660,180.00,78.57,101.42,202.85
6680,180.00,78.57,101.42,202.85
6700,180.00,78.57,101.42,202.85
6720,180.00,78.57,101.42,202.85
6740,180.00,78.57,101.42,202.85
6760,180.00,78.57,101.42,202.85
6780,180.00,78.57,101.42,202.85
6800,180.00,78.57,101.42,202.85
6820,180.00,75.00,105.00,210.00
6840,180.00,78.57,101.42,202.85
6860,180.00,82.14,97.85,195.71
6880,180.00,78.57,101.42,202.85
6900,180.00,75.00,105.00,210.00
6920,180.00,78.57,101.42,202.85
6940,180.00,82.14,97.85,195.71
6960,180.00,75.00,105.00,210.00
6980,180.00,78.57,101.42,202.85
7000,180.00,78.57,101.42,202.85
7020,180.00,78.57,101.42,202.85
7040,180.00,78.57,101.42,202.85
7060,180.00,78.57,101.42,202.85
7080,180.00,78.57,101.42,202.85
