time_ms,target_rpm,measured_rpm,error,pwm
20,180.00,0.00,180.00,999.00
40,180.00,85.71,94.28,999.00
60,180.00,228.57,-48.57,0.00
80,180.00,221.42,-41.42,0.00
100,180.00,121.42,58.57,819.99
120,180.00,135.71,44.28,619.99
140,180.00,214.28,-34.28,0.00
160,180.00,175.00,5.00,70.00
180,180.00,100.00,79.99,999.00
200,180.00,150.00,30.00,420.00
220,180.00,214.28,-34.28,0.00
240,180.00,160.71,19.28,269.99
260,180.00,110.71,69.28,969.99
280,180.00,171.42,8.57,119.99
300,180.00,200.00,-20.00,0.00
320,180.00,117.85,62.14,869.99
340,180.00,142.85,37.14,519.99
360,180.00,210.71,-30.71,0.00
380,180.00,160.71,19.28,269.99
400,180.00,114.28,65.71,919.99
420,180.00,171.42,8.57,119.99
440,180.00,189.28,-9.28,0.00
460,180.00,117.85,62.14,869.99
480,180.00,139.28,40.71,569.99
500,180.00,210.71,-30.71,0.00
520,180.00,171.42,8.57,119.99
540,180.00,103.57,76.42,999.00
560,180.00,150.00,30.00,420.00
580,180.00,221.42,-41.42,0.00
600,180.00,160.71,19.28,269.99
620,180.00,114.28,65.71,919.99
640,180.00,167.85,12.14,169.99
660,180.00,192.85,-12.85,0.00
680,180.00,125.00,54.99,769.99
700,180.00,132.14,47.85,669.99
720,180.00,207.14,-27.14,0.00
740,180.00,171.42,8.57,119.99
760,180.00,107.14,72.85,999.00
780,180.00,157.14,22.85,320.00
800,180.00,207.14,-27.14,0.00
820,180.00,146.42,33.57,469.99
840,180.00,121.42,58.57,819.99
860,180.00,185.71,-5.71,0.00
880,180.00,175.00,5.00,70.00
900,180.00,103.57,76.42,999.00
920,180.00,150.00,30.00,420.00
940,180.00,214.28,-34.28,0.00
960,180.00,157.14,22.85,320.00
980,180.00,114.28,65.71,919.99
1000,180.00,175.00,5.00,70.00
1020,180.00,189.28,-9.28,0.00
1040,180.00,110.71,69.28,969.99
1060,180.00,142.85,37.14,519.99
1080,180.00,207.14,-27.14,0.00
1100,180.00,171.42,8.57,119.99
1120,180.00,100.00,79.99,999.00
1140,180.00,153.57,26.42,370.00
1160,180.00,210.71,-30.71,0.00
1180,180.00,153.57,26.42,370.00
1200,180.00,114.28,65.71,919.99
1220,180.00,182.14,-2.14,0.00
1240,180.00,182.14,-2.14,0.00
1260,180.00,100.00,79.99,999.00
1280,180.00,139.28,40.71,569.99
1300,180.00,221.42,-41.42,0.00
1320,180.00,178.57,1.42,19.99
1340,180.00,96.42,83.57,999.00
1360,180.00,139.28,40.71,569.99
1380,180.00,225.00,-45.00,0.00
1400,180.00,178.57,1.42,19.99
1420,180.00,96.42,83.57,999.00
1440,180.00,139.28,40.71,569.99
1460,180.00,221.42,-41.42,0.00
1480,180.00,175.00,5.00,70.00
1500,180.00,100.00,79.99,999.00
1520,180.00,150.00,30.00,420.00
1540,180.00,214.28,-34.28,0.00
1560,180.00,157.14,22.85,320.00
1580,180.00,114.28,65.71,919.99
1600,180.00,175.00,5.00,70.00
1620,180.00,189.28,-9.28,0.00
1640,180.00,107.14,72.85,999.00
1660,180.00,146.42,33.57,469.99
1680,180.00,217.85,-37.85,0.00
1700,180.00,164.28,15.71,219.99
1720,180.00,110.71,69.28,969.99
1740,180.00,164.28,15.71,219.99
1760,180.00,203.57,-23.57,0.00
1780,180.00,132.14,47.85,669.99
1800,180.00,128.57,51.42,719.99
1820,180.00,200.00,-20.00,0.00
1840,180.00,175.00,5.00,70.00
1860,180.00,103.57,76.42,999.00
1880,180.00,146.42,33.57,469.99
1900,180.00,221.42,-41.42,0.00
1920,180.00,164.28,15.71,219.99
1940,180.00,110.71,69.28,969.99
1960,180.00,164.28,15.71,219.99
1980,180.00,203.57,-23.57,0.00
2000,180.00,128.57,51.42,719.99
2020,180.00,135.71,44.28,619.99
2040,180.00,200.00,-20.00,0.00
2060,180.00,167.85,12.14,169.99
2080,180.00,103.57,76.42,999.00
2100,180.00,164.28,15.71,219.99
2120,180.00,200.00,-20.00,0.00
2140,180.00,132.14,47.85,669.99
2160,180.00,132.14,47.85,669.99
2180,180.00,196.42,-16.42,0.00
2200,180.00,167.85,12.14,169.99
2220,180.00,107.14,72.85,999.00
2240,180.00,164.28,15.71,219.99
2260,180.00,203.57,-23.57,0.00
2280,180.00,132.14,47.85,669.99
2300,180.00,128.57,51.42,719.99
2320,180.00,200.00,-20.00,0.00
2340,180.00,178.57,1.42,19.99
2360,180.00,96.42,83.57,999.00
2380,180.00,139.28,40.71,569.99
2400,180.00,225.00,-45.00,0.00
2420,180.00,178.57,1.42,19.99
2440,180.00,92.85,87.14,999.00
2460,180.00,139.28,40.71,569.99
2480,180.00,225.00,-45.00,0.00
2500,180.00,175.00,5.00,70.00
2520,180.00,100.00,79.99,999.00
2540,180.00,142.85,37.14,519.99
2560,180.00,225.00,-45.00,0.00
2580,180.00,167.85,12.14,169.99
2600,180.00,107.14,72.85,999.00
2620,180.00,164.28,15.71,219.99
2640,180.00,192.85,-12.85,0.00
2660,180.00,132.14,47.85,669.99
2680,180.00,132.14,47.85,669.99
2700,180.00,196.42,-16.42,0.00
2720,180.00,171.42,8.57,119.99
2740,180.00,100.00,79.99,999.00
2760,180.00,153.57,26.42,370.00
2780,180.00,214.28,-34.28,0.00
2800,180.00,150.00,30.00,420.00
2820,180.00,121.42,58.57,819.99
2840,180.00,178.57,1.42,19.99
2860,180.00,175.00,5.00,70.00
2880,180.00,103.57,76.42,999.00
2900,180.00,146.42,33.57,469.99
2920,180.00,221.42,-41.42,0.00
2940,180.00,164.28,15.71,219.99
2960,180.00,107.14,72.85,999.00
2980,180.00,167.85,12.14,169.99
3000,180.00,200.00,-20.00,0.00
3020,180.00,125.00,54.99,769.99
3040,180.00,135.71,44.28,619.99
3060,180.00,203.57,-23.57,0.00
3080,180.00,171.42,8.57,119.99
3100,180.00,100.00,79.99,999.00
3120,180.00,153.57,26.42,370.00
3140,180.00,210.71,-30.71,0.00
