time_ms,target_rpm,measured_rpm,error,pwm
20,180.00,0.00,180.00,999.00
40,180.00,82.14,97.85,782.85
60,180.00,200.00,-20.00,0.00
80,180.00,185.71,-5.71,0.00
100,180.00,100.00,79.99,639.99
120,180.00,107.14,72.85,582.85
140,180.00,175.00,5.00,40.00
160,180.00,157.14,22.85,182.85
180,180.00,103.57,76.42,611.42
200,180.00,132.14,47.85,382.85
220,180.00,164.28,15.71,125.71
240,180.00,139.28,40.71,325.71
260,180.00,121.42,58.57,468.57
280,180.00,139.28,40.71,325.71
300,180.00,150.00,30.00,240.00
320,180.00,135.71,44.28,354.28
340,180.00,132.14,47.85,382.85
360,180.00,142.85,37.14,297.14
380,180.00,139.28,40.71,325.71
400,180.00,139.28,40.71,325.71
420,180.00,135.71,44.28,354.28
440,180.00,135.71,44.28,354.28
460,180.00,142.85,37.14,297.14
480,180.00,139.28,40.71,325.71
500,180.00,135.71,44.28,354.28
520,180.00,135.71,44.28,354.28
540,180.00,142.85,37.14,297.14
560,180.00,139.28,40.71,325.71
580,180.00,135.71,44.28,354.28
600,180.00,135.71,44.28,354.28
620,180.00,142.85,37.14,297.14
640,180.00,139.28,40.71,325.71
660,180.00,135.71,44.28,354.28
680,180.00,135.71,44.28,354.28
700,180.00,142.85,37.14,297.14
720,180.00,139.28,40.71,325.71
740,180.00,132.14,47.85,382.85
760,180.00,139.28,40.71,325.71
780,180.00,146.42,33.57,268.57
800,180.00,132.14,47.85,382.85
820,180.00,135.71,44.28,354.28
840,180.00,142.85,37.14,297.14
860,180.00,142.85,37.14,297.14
880,180.00,132.14,47.85,382.85
900,180.00,132.14,47.85,382.85
920,180.00,150.00,30.00,240.00
940,180.00,135.71,44.28,354.28
960,180.00,132.14,47.85,382.85
980,180.00,139.28,40.71,325.71
1000,180.00,142.85,37.14,297.14
1020,180.00,135.71,44.28,354.28
1040,180.00,135.71,44.28,354.28
1060,180.00,142.85,37.14,297.14
1080,180.00,135.71,44.28,354.28
1100,180.00,139.28,40.71,325.71
1120,180.00,139.28,40.71,325.71
1140,180.00,135.71,44.28,354.28
1160,180.00,139.28,40.71,325.71
1180,180.00,139.28,40.71,325.71
1200,180.00,139.28,40.71,325.71
1220,180.00,139.28,40.71,325.71
1240,180.00,135.71,44.28,354.28
1260,180.00,139.28,40.71,325.71
1280,180.00,139.28,40.71,325.71
1300,180.00,139.28,40.71,325.71
1320,180.00,135.71,44.28,354.28
1340,180.00,139.28,40.71,325.71
