time_ms,target_rpm,measured_rpm,error,pwm
20,180.00,217.85,-37.85,0.00
40,180.00,164.28,15.71,157.14
60,180.00,103.57,76.42,764.28
80,180.00,139.28,40.71,407.14
100,180.00,189.28,-9.28,0.00
120,180.00,146.42,33.57,335.71
140,180.00,107.14,72.85,728.57
160,180.00,157.14,22.85,228.57
180,180.00,182.14,-2.14,0.00
200,180.00,117.85,62.14,621.42
220,180.00,125.00,54.99,549.99
240,180.00,175.00,5.00,50.00
260,180.00,157.14,22.85,228.57
280,180.00,110.71,69.28,692.85
300,180.00,146.42,33.57,335.71
320,180.00,178.57,1.42,14.28
340,180.00,132.14,47.85,478.57
360,180.00,114.28,65.71,657.14
380,180.00,171.42,8.57,85.71
400,180.00,167.85,12.14,121.42
420,180.00,107.14,72.85,728.57
440,180.00,139.28,40.71,407.14
460,180.00,182.14,-2.14,0.00
480,180.00,139.28,40.71,407.14
500,180.00,110.71,69.28,692.85
520,180.00,164.28,15.71,157.14
540,180.00,171.42,8.57,85.71
560,180.00,117.85,62.14,621.42
580,180.00,128.57,51.42,514.28
600,180.00,171.42,8.57,85.71
620,180.00,153.57,26.42,264.28
640,180.00,117.85,62.14,621.42
660,180.00,146.42,33.57,335.71
680,180.00,167.85,12.14,121.42
700,180.00,135.71,44.28,442.85
720,180.00,128.57,51.42,514.28
740,180.00,160.71,19.28,192.85
760,180.00,157.14,22.85,228.57
780,180.00,128.57,51.42,514.28
800,180.00,135.71,44.28,442.85
820,180.00,167.85,12.14,121.42
840,180.00,142.85,37.14,371.42
860,180.00,125.00,54.99,549.99
880,180.00,153.57,26.42,264.28
900,180.00,164.28,15.71,157.14
920,180.00,128.57,51.42,514.28
940,180.00,135.71,44.28,442.85
960,180.00,164.28,15.71,157.14
980,180.00,146.42,33.57,335.71
1000,180.00,128.57,51.42,514.28
1020,180.00,150.00,30.00,300.00
1040,180.00,160.71,19.28,192.85
1060,180.00,132.14,47.85,478.57
1080,180.00,139.28,40.71,407.14
1100,180.00,157.14,22.85,228.57
1120,180.00,146.42,33.57,335.71
1140,180.00,135.71,44.28,442.85
1160,180.00,146.42,33.57,335.71
1180,180.00,153.57,26.42,264.28
1200,180.00,142.85,37.14,371.42
1220,180.00,139.28,40.71,407.14
1240,180.00,150.00,30.00,300.00
1260,180.00,146.42,33.57,335.71
1280,180.00,142.85,37.14,371.42
1300,180.00,146.42,33.57,335.71
1320,180.00,146.42,33.57,335.71
1340,180.00,142.85,37.14,371.42
1360,180.00,142.85,37.14,371.42
1380,180.00,150.00,30.00,300.00
1400,180.00,150.00,30.00,300.00
1420,180.00,135.71,44.28,442.85
1440,180.00,142.85,37.14,371.42
1460,180.00,153.57,26.42,264.28
1480,180.00,146.42,33.57,335.71
1500,180.00,139.28,40.71,407.14
1520,180.00,142.85,37.14,371.42
1540,180.00,153.57,26.42,264.28
1560,180.00,142.85,37.14,371.42
1580,180.00,139.28,40.71,407.14
1600,180.00,150.00,30.00,300.00
1620,180.00,150.00,30.00,300.00
1640,180.00,139.28,40.71,407.14
1660,180.00,142.85,37.14,371.42
1680,180.00,150.00,30.00,300.00
1700,180.00,150.00,30.00,300.00
1720,180.00,135.71,44.28,442.85
1740,180.00,146.42,33.57,335.71
1760,180.00,153.57,26.42,264.28
1780,180.00,139.28,40.71,407.14
1800,180.00,139.28,40.71,407.14
1820,180.00,153.57,26.42,264.28
1840,180.00,150.00,30.00,300.00
1860,180.00,135.71,44.28,442.85
1880,180.00,142.85,37.14,371.42
1900,180.00,157.14,22.85,228.57
1920,180.00,139.28,40.71,407.14
1940,180.00,139.28,40.71,407.14
1960,180.00,153.57,26.42,264.28
1980,180.00,146.42,33.57,335.71
2000,180.00,135.71,44.28,442.85
2020,180.00,150.00,30.00,300.00
2040,180.00,153.57,26.42,264.28
2060,180.00,135.71,44.28,442.85
2080,180.00,142.85,37.14,371.42
2100,180.00,153.57,26.42,264.28
2120,180.00,142.85,37.14,371.42
2140,180.00,139.28,40.71,407.14
2160,180.00,153.57,26.42,264.28
2180,180.00,142.85,37.14,371.42
2200,180.00,139.28,40.71,407.14
2220,180.00,150.00,30.00,300.00
2240,180.00,150.00,30.00,300.00
2260,180.00,139.28,40.71,407.14
2280,180.00,142.85,37.14,371.42
2300,180.00,153.57,26.42,264.28
2320,180.00,142.85,37.14,371.42
2340,180.00,139.28,40.71,407.14
2360,180.00,150.00,30.00,300.00
2380,180.00,150.00,30.00,300.00
2400,180.00,135.71,44.28,442.85
2420,180.00,146.42,33.57,335.71
2440,180.00,153.57,26.42,264.28
2460,180.00,139.28,40.71,407.14
2480,180.00,142.85,37.14,371.42
2500,180.00,150.00,30.00,300.00
2520,180.00,146.42,33.57,335.71
2540,180.00,139.28,40.71,407.14
2560,180.00,146.42,33.57,335.71
2580,180.00,150.00,30.00,300.00
2600,180.00,142.85,37.14,371.42
2620,180.00,142.85,37.14,371.42
2640,180.00,146.42,33.57,335.71
2660,180.00,150.00,30.00,300.00
2680,180.00,142.85,37.14,371.42
2700,180.00,139.28,40.71,407.14
2720,180.00,150.00,30.00,300.00
2740,180.00,150.00,30.00,300.00
2760,180.00,139.28,40.71,407.14
2780,180.00,142.85,37.14,371.42
2800,180.00,150.00,30.00,300.00
2820,180.00,146.42,33.57,335.71
2840,180.00,142.85,37.14,371.42
2860,180.00,142.85,37.14,371.42
2880,180.00,150.00,30.00,300.00
2900,180.00,142.85,37.14,371.42
2920,180.00,142.85,37.14,371.42
2940,180.00,146.42,33.57,335.71
2960,180.00,150.00,30.00,300.00
2980,180.00,142.85,37.14,371.42
3000,180.00,139.28,40.71,407.14
3020,180.00,150.00,30.00,300.00
3040,180.00,150.00,30.00,300.00
3060,180.00,135.71,44.28,442.85
3080,180.00,146.42,33.57,335.71
3100,180.00,153.57,26.42,264.28
3120,180.00,139.28,40.71,407.14
3140,180.00,139.28,40.71,407.14
3160,180.00,153.57,26.42,264.28
3180,180.00,150.00,30.00,300.00
3200,180.00,132.14,47.85,478.57
3220,180.00,146.42,33.57,335.71
3240,180.00,157.14,22.85,228.57
3260,180.00,139.28,40.71,407.14
3280,180.00,139.28,40.71,407.14
3300,180.00,150.00,30.00,300.00
3320,180.00,150.00,30.00,300.00
3340,180.00,139.28,40.71,407.14
3360,180.00,142.85,37.14,371.42
3380,180.00,150.00,30.00,300.00
3400,180.00,146.42,33.57,335.71
3420,180.00,142.85,37.14,371.42
3440,180.00,142.85,37.14,371.42
3460,180.00,146.42,33.57,335.71
3480,180.00,150.00,30.00,300.00
3500,180.00,139.28,40.71,407.14
3520,180.00,146.42,33.57,335.71
3540,180.00,146.42,33.57,335.71
3560,180.00,146.42,33.57,335.71
3580,180.00,142.85,37.14,371.42
3600,180.00,146.42,33.57,335.71
3620,180.00,142.85,37.14,371.42
3640,180.00,146.42,33.57,335.71
3660,180.00,150.00,30.00,300.00
3680,180.00,139.28,40.71,407.14
3700,180.00,142.85,37.14,371.42
3720,180.00,153.57,26.42,264.28
3740,180.00,142.85,37.14,371.42
3760,180.00,139.28,40.71,407.14
3780,180.00,146.42,33.57,335.71
3800,180.00,153.57,26.42,264.28
3820,180.00,139.28,40.71,407.14
3840,180.00,139.28,40.71,407.14
3860,180.00,153.57,26.42,264.28
3880,180.00,146.42,33.57,335.71
3900,180.00,139.28,40.71,407.14
3920,180.00,142.85,37.14,371.42
3940,180.00,153.57,26.42,264.28
3960,180.00,142.85,37.14,371.42
3980,180.00,139.28,40.71,407.14
4000,180.00,150.00,30.00,300.00
4020,180.00,146.42,33.57,335.71
4040,180.00,142.85,37.14,371.42
4060,180.00,142.85,37.14,371.42
4080,180.00,150.00,30.00,300.00
4100,180.00,146.42,33.57,335.71
4120,180.00,139.28,40.71,407.14
4140,180.00,146.42,33.57,335.71
4160,180.00,150.00,30.00,300.00
4180,180.00,142.85,37.14,371.42
4200,180.00,139.28,40.71,407.14
4220,180.00,153.57,26.42,264.28
4240,180.00,146.42,33.57,335.71
4260,180.00,135.71,44.28,442.85
4280,180.00,146.42,33.57,335.71
4300,180.00,157.14,22.85,228.57
4320,180.00,135.71,44.28,442.85
4340,180.00,139.28,40.71,407.14
4360,180.00,157.14,22.85,228.57
4380,180.00,142.85,37.14,371.42
4400,180.00,139.28,40.71,407.14
4420,180.00,146.42,33.57,335.71
4440,180.00,153.57,26.42,264.28
4460,180.00,139.28,40.71,407.14
4480,180.00,135.71,44.28,442.85
4500,180.00,157.14,22.85,228.57
4520,180.00,150.00,30.00,300.00
4540,180.00,132.14,47.85,478.57
4560,180.00,146.42,33.57,335.71
4580,180.00,157.14,22.85,228.57
4600,180.00,139.28,40.71,407.14
4620,180.00,135.71,44.28,442.85
4640,180.00,153.57,26.42,264.28
