time_ms,target_rpm,measured_rpm,error,pwm
20,180.00,139.28,40.71,288.25
40,180.00,125.00,54.99,392.65
60,180.00,135.71,44.28,321.19
80,180.00,146.42,33.57,248.88
100,180.00,132.14,47.85,352.71
120,180.00,132.14,47.85,356.54
140,180.00,142.85,37.14,284.51
160,180.00,139.28,40.71,312.77
180,180.00,135.71,44.28,341.31
200,180.00,135.71,44.28,344.85
220,180.00,142.85,37.14,297.82
240,180.00,142.85,37.14,300.79
260,180.00,135.71,44.28,354.34
280,180.00,139.28,40.71,332.59
300,180.00,142.85,37.14,310.57
320,180.00,139.28,40.71,338.82
340,180.00,139.28,40.71,342.08
360,180.00,142.85,37.14,320.05
380,180.00,142.85,37.14,323.02
400,180.00,142.85,37.14,325.99
420,180.00,139.28,40.71,354.25
440,180.00,146.42,33.57,306.94
460,180.00,142.85,37.14,334.91
480,180.00,139.28,40.71,363.17
500,180.00,146.42,33.57,315.85
520,180.00,146.42,33.57,318.54
540,180.00,142.85,37.14,346.51
560,180.00,139.28,40.71,374.77
580,180.00,150.00,30.00,302.17
600,180.00,146.42,33.57,329.85
620,180.00,142.85,37.14,357.82
640,180.00,146.42,33.57,335.51
660,180.00,146.42,33.57,338.19
680,180.00,146.42,33.57,340.88
700,180.00,150.00,30.00,318.28
720,180.00,142.85,37.14,371.25
740,180.00,146.42,33.57,348.94
760,180.00,153.57,26.42,301.05
780,180.00,146.42,33.57,353.74
800,180.00,142.85,37.14,381.71
820,180.00,153.57,26.42,308.82
840,180.00,150.00,30.00,336.22
860,180.00,146.42,33.57,363.91
880,180.00,146.42,33.57,366.59
900,180.00,153.57,26.42,318.71
920,180.00,150.00,30.00,346.11
940,180.00,150.00,30.00,348.51
960,180.00,146.42,33.57,376.19
980,180.00,153.57,26.42,328.31
1000,180.00,153.57,26.42,330.42
1020,180.00,150.00,30.00,357.82
1040,180.00,146.42,33.57,385.51
1060,180.00,153.57,26.42,337.62
1080,180.00,157.14,22.85,314.45
1100,180.00,150.00,30.00,366.85
1120,180.00,146.42,33.57,394.54
1140,180.00,157.14,22.85,321.37
1160,180.00,153.57,26.42,348.48
1180,180.00,153.57,26.42,350.59
1200,180.00,150.00,30.00,377.99
1220,180.00,157.14,22.85,329.82
1240,180.00,153.57,26.42,356.94
1260,180.00,150.00,30.00,384.34
1280,180.00,157.14,22.85,336.17
1300,180.00,157.14,22.85,338.00
1320,180.00,150.00,30.00,390.39
1340,180.00,157.14,22.85,342.22
1360,180.00,157.14,22.85,344.05
1380,180.00,153.57,26.42,371.17
1400,180.00,153.57,26.42,373.28
1420,180.00,157.14,22.85,350.11
1440,180.00,160.71,19.28,326.65
1460,180.00,153.57,26.42,378.77
1480,180.00,153.57,26.42,380.88
1500,180.00,157.14,22.85,357.71
1520,180.00,160.71,19.28,334.25
1540,180.00,153.57,26.42,386.37
1560,180.00,157.14,22.85,363.19
1580,180.00,157.14,22.85,365.02
1600,180.00,160.71,19.28,341.57
1620,180.00,157.14,22.85,368.39
1640,180.00,157.14,22.85,370.22
1660,180.00,157.14,22.85,372.05
1680,180.00,160.71,19.28,348.59
1700,180.00,157.14,22.85,375.42
1720,180.00,160.71,19.28,351.97
1740,180.00,157.14,22.85,378.79
1760,180.00,157.14,22.85,380.62
1780,180.00,160.71,19.28,357.17
1800,180.00,160.71,19.28,358.71
1820,180.00,160.71,19.28,360.25
1840,180.00,160.71,19.28,361.79
1860,180.00,157.14,22.85,388.62
1880,180.00,160.71,19.28,365.17
1900,180.00,160.71,19.28,366.71
1920,180.00,160.71,19.28,368.25
1940,180.00,164.28,15.71,344.51
1960,180.00,157.14,22.85,396.34
1980,180.00,160.71,19.28,372.88
2000,180.00,160.71,19.28,374.42
2020,180.00,164.28,15.71,350.68
2040,180.00,160.71,19.28,377.22
2060,180.00,160.71,19.28,378.77
2080,180.00,164.28,15.71,355.02
2100,180.00,160.71,19.28,381.57
2120,180.00,164.28,15.71,357.82
2140,180.00,160.71,19.28,384.37
2160,180.00,160.71,19.28,385.91
2180,180.00,167.85,12.14,336.88
2200,180.00,160.71,19.28,388.42
2220,180.00,160.71,19.28,389.97
2240,180.00,164.28,15.71,366.22
2260,180.00,167.85,12.14,342.19
2280,180.00,164.28,15.71,368.45
2300,180.00,160.71,19.28,394.99
2320,180.00,164.28,15.71,371.25
2340,180.00,164.28,15.71,372.51
2360,180.00,160.71,19.28,399.05
2380,180.00,167.85,12.14,350.02
2400,180.00,167.85,12.14,350.99
2420,180.00,164.28,15.71,377.25
2440,180.00,160.71,19.28,403.79
2460,180.00,164.28,15.71,380.05
2480,180.00,171.42,8.57,330.74
2500,180.00,164.28,15.71,381.99
2520,180.00,157.14,22.85,433.82
2540,180.00,171.42,8.57,334.51
2560,180.00,167.85,12.14,360.48
2580,180.00,160.71,19.28,412.02
2600,180.00,160.71,19.28,413.57
2620,180.00,171.42,8.57,339.25
2640,180.00,167.85,12.14,365.22
2660,180.00,164.28,15.71,391.48
2680,180.00,167.85,12.14,367.45
2700,180.00,167.85,12.14,368.42
2720,180.00,167.85,12.14,369.39
2740,180.00,167.85,12.14,370.37
2760,180.00,164.28,15.71,396.62
2780,180.00,171.42,8.57,347.31
2800,180.00,164.28,15.71,398.57
2820,180.00,164.28,15.71,399.82
2840,180.00,171.42,8.57,350.51
2860,180.00,167.85,12.14,376.48
2880,180.00,160.71,19.28,428.02
2900,180.00,171.42,8.57,353.71
2920,180.00,167.85,12.14,379.68
2940,180.00,171.42,8.57,355.37
2960,180.00,164.28,15.71,406.62
2980,180.00,171.42,8.57,357.31
3000,180.00,164.28,15.71,408.57
