time_ms,target_rpm,measured_rpm,error,pwm
20,180.00,0.00,180.00,999.00
40,180.00,78.57,101.42,726.22
60,180.00,200.00,-20.00,0.00
80,180.00,175.00,5.00,52.02
100,180.00,103.57,76.42,564.25
120,180.00,110.71,69.28,525.34
140,180.00,157.14,22.85,204.00
160,180.00,160.71,19.28,182.08
180,180.00,121.42,58.57,466.45
200,180.00,128.57,51.42,424.68
220,180.00,153.57,26.42,253.91
240,180.00,146.42,33.57,309.28
260,180.00,132.14,47.85,416.94
280,180.00,142.85,37.14,347.88
300,180.00,146.42,33.57,328.25
320,180.00,146.42,33.57,333.62
340,180.00,142.85,37.14,364.57
360,180.00,142.85,37.14,370.51
380,180.00,146.42,33.57,350.88
400,180.00,150.00,30.00,330.68
420,180.00,142.85,37.14,386.62
440,180.00,150.00,30.00,341.42
460,180.00,146.42,33.57,371.79
480,180.00,150.00,30.00,351.59
500,180.00,150.00,30.00,356.39
520,180.00,146.42,33.57,386.77
540,180.00,153.57,26.42,341.00
560,180.00,150.00,30.00,370.79
580,180.00,150.00,30.00,375.60
600,180.00,150.00,30.00,380.40
620,180.00,157.14,22.85,334.05
640,180.00,150.00,30.00,388.85
660,180.00,150.00,30.00,393.65
680,180.00,157.14,22.85,347.31
700,180.00,157.14,22.85,350.97
720,180.00,150.00,30.00,405.77
740,180.00,150.00,30.00,410.57
760,180.00,160.71,19.28,338.65
780,180.00,153.57,26.42,392.88
800,180.00,157.14,22.85,371.54
820,180.00,157.14,22.85,375.20
840,180.00,157.14,22.85,378.85
860,180.00,153.57,26.42,408.08
880,180.00,160.71,19.28,361.17
900,180.00,160.71,19.28,364.25
920,180.00,157.14,22.85,392.91
940,180.00,153.57,26.42,422.14
960,180.00,164.28,15.71,349.65
980,180.00,160.71,19.28,377.74
1000,180.00,157.14,22.85,406.40
1020,180.00,160.71,19.28,384.48
1040,180.00,160.71,19.28,387.57
1060,180.00,160.71,19.28,390.65
1080,180.00,160.71,19.28,393.74
1100,180.00,164.28,15.71,371.25
1120,180.00,160.71,19.28,399.34
1140,180.00,160.71,19.28,402.42
1160,180.00,164.28,15.71,379.94
1180,180.00,164.28,15.71,382.45
1200,180.00,160.71,19.28,410.54
1220,180.00,164.28,15.71,388.05
1240,180.00,157.14,22.85,441.71
1260,180.00,167.85,12.14,368.65
1280,180.00,167.85,12.14,370.60
1300,180.00,160.71,19.28,423.68
1320,180.00,160.71,19.28,426.77
1340,180.00,167.85,12.14,378.71
1360,180.00,167.85,12.14,380.65
1380,180.00,160.71,19.28,433.74
1400,180.00,167.85,12.14,385.68
1420,180.00,171.42,8.57,362.05
1440,180.00,164.28,15.71,414.57
1460,180.00,164.28,15.71,417.08
1480,180.00,171.42,8.57,368.45
1500,180.00,167.85,12.14,395.40
1520,180.00,164.28,15.71,422.91
1540,180.00,167.85,12.14,399.85
1560,180.00,167.85,12.14,401.80
1580,180.00,167.85,12.14,403.74
1600,180.00,164.28,15.71,431.25
1620,180.00,167.85,12.14,408.20
1640,180.00,167.85,12.14,410.14
1660,180.00,171.42,8.57,386.51
1680,180.00,167.85,12.14,413.45
1700,180.00,167.85,12.14,415.40
1720,180.00,164.28,15.71,442.91
1740,180.00,171.42,8.57,394.28
1760,180.00,171.42,8.57,395.65
1780,180.00,167.85,12.14,422.60
1800,180.00,171.42,8.57,398.97
1820,180.00,171.42,8.57,400.34
1840,180.00,167.85,12.14,427.28
1860,180.00,171.42,8.57,403.65
1880,180.00,175.00,5.00,379.45
1900,180.00,171.42,8.57,405.82
1920,180.00,167.85,12.14,432.77
1940,180.00,171.42,8.57,409.14
1960,180.00,175.00,5.00,384.94
1980,180.00,171.42,8.57,411.31
2000,180.00,167.85,12.14,438.25
2020,180.00,171.42,8.57,414.62
2040,180.00,178.57,1.42,364.85
2060,180.00,167.85,12.14,441.80
2080,180.00,167.85,12.14,443.74
2100,180.00,175.00,5.00,394.54
2120,180.00,175.00,5.00,395.34
2140,180.00,171.42,8.57,421.71
2160,180.00,171.42,8.57,423.08
2180,180.00,171.42,8.57,424.45
2200,180.00,178.57,1.42,374.68
2220,180.00,171.42,8.57,426.05
2240,180.00,171.42,8.57,427.42
2260,180.00,171.42,8.57,428.80
2280,180.00,178.57,1.42,379.02
2300,180.00,171.42,8.57,430.40
2320,180.00,175.00,5.00,406.20
2340,180.00,175.00,5.00,407.00
2360,180.00,171.42,8.57,433.37
2380,180.00,175.00,5.00,409.17
2400,180.00,175.00,5.00,409.97
