time_ms,target_rpm,measured_rpm,error,pwm
20,180.00,0.00,180.00,999.00
40,180.00,85.71,94.28,673.20
60,180.00,196.42,-16.42,0.00
80,180.00,171.42,8.57,74.39
100,180.00,100.00,79.99,585.59
120,180.00,110.71,69.28,520.29
140,180.00,164.28,15.71,147.49
160,180.00,153.57,26.42,226.20
180,180.00,121.42,58.57,459.39
200,180.00,128.57,51.42,416.59
220,180.00,150.00,30.00,270.79
240,180.00,150.00,30.00,275.00
260,180.00,132.14,47.85,406.69
280,180.00,135.71,44.28,387.89
300,180.00,150.00,30.00,292.10
320,180.00,146.42,33.57,321.79
340,180.00,135.71,44.28,402.99
360,180.00,142.85,37.14,358.19
380,180.00,150.00,30.00,312.40
400,180.00,146.42,33.57,342.09
420,180.00,139.28,40.71,397.79
440,180.00,146.42,33.57,352.50
460,180.00,150.00,30.00,331.70
480,180.00,146.42,33.57,361.39
500,180.00,146.42,33.57,366.09
520,180.00,146.42,33.57,370.79
540,180.00,150.00,30.00,350.00
560,180.00,153.57,26.42,328.70
580,180.00,146.42,33.57,383.40
600,180.00,146.42,33.57,388.10
620,180.00,153.57,26.42,341.80
640,180.00,150.00,30.00,371.00
660,180.00,150.00,30.00,375.20
680,180.00,153.57,26.42,353.90
700,180.00,153.57,26.42,357.60
720,180.00,150.00,30.00,386.80
740,180.00,150.00,30.00,391.00
760,180.00,157.14,22.85,344.20
780,180.00,157.14,22.85,347.40
800,180.00,150.00,30.00,401.60
820,180.00,153.57,26.42,380.30
840,180.00,157.14,22.85,358.50
860,180.00,157.14,22.85,361.70
880,180.00,153.57,26.42,390.40
900,180.00,153.57,26.42,394.10
920,180.00,157.14,22.85,372.30
940,180.00,160.71,19.28,350.00
960,180.00,157.14,22.85,378.20
980,180.00,153.57,26.42,406.90
1000,180.00,157.14,22.85,385.10
1020,180.00,160.71,19.28,362.80
1040,180.00,160.71,19.28,365.50
1060,180.00,157.14,22.85,393.70
1080,180.00,157.14,22.85,396.90
1100,180.00,160.71,19.28,374.60
1120,180.00,164.28,15.71,351.80
1140,180.00,157.14,22.85,405.00
1160,180.00,157.14,22.85,408.20
1180,180.00,164.28,15.71,360.40
1200,180.00,164.28,15.71,362.60
1220,180.00,157.14,22.85,415.80
1240,180.00,160.71,19.28,393.50
1260,180.00,164.28,15.71,370.70
1280,180.00,160.71,19.28,398.40
1300,180.00,164.28,15.71,375.60
1320,180.00,160.71,19.28,403.30
1340,180.00,164.28,15.71,380.50
1360,180.00,160.71,19.28,408.20
1380,180.00,167.85,12.14,359.90
1400,180.00,167.85,12.14,361.60
1420,180.00,160.71,19.28,414.30
1440,180.00,160.71,19.28,417.00
1460,180.00,167.85,12.14,368.70
1480,180.00,164.28,15.71,395.90
1500,180.00,164.28,15.71,398.10
1520,180.00,164.28,15.71,400.30
1540,180.00,171.42,8.57,351.50
1560,180.00,164.28,15.71,403.70
1580,180.00,160.71,19.28,431.40
1600,180.00,167.85,12.14,383.10
1620,180.00,160.71,19.28,435.80
1640,180.00,171.42,8.57,362.00
1660,180.00,167.85,12.14,388.70
1680,180.00,164.28,15.71,415.90
1700,180.00,164.28,15.71,418.10
1720,180.00,175.00,5.00,343.80
1740,180.00,164.28,15.71,421.00
1760,180.00,164.28,15.71,423.20
1780,180.00,167.85,12.14,399.90
1800,180.00,167.85,12.14,401.60
1820,180.00,171.42,8.57,377.80
1840,180.00,167.85,12.14,404.50
1860,180.00,167.85,12.14,406.20
1880,180.00,167.85,12.14,407.90
1900,180.00,164.28,15.71,435.10
1920,180.00,171.42,8.57,386.30
1940,180.00,167.85,12.14,413.00
