time_ms,target_rpm,measured_rpm,error,pwm
20,180.00,0.00,180.00,999.00
40,180.00,78.57,101.42,715.07
60,180.00,192.85,-12.85,0.00
80,180.00,171.42,8.57,65.49
100,180.00,96.42,83.57,594.67
120,180.00,110.71,69.28,498.14
140,180.00,157.14,22.85,174.28
160,180.00,150.00,30.00,225.78
180,180.00,117.85,62.14,453.89
200,180.00,125.00,54.99,406.64
220,180.00,146.42,33.57,258.32
240,180.00,139.28,40.71,310.35
260,180.00,128.57,51.42,387.92
280,180.00,132.14,47.85,365.32
300,180.00,142.85,37.14,292.17
320,180.00,135.71,44.28,344.39
340,180.00,132.14,47.85,371.78
360,180.00,139.28,40.71,323.82
380,180.00,135.71,44.28,351.03
400,180.00,135.71,44.28,353.24
420,180.00,139.28,40.71,330.28
440,180.00,139.28,40.71,332.32
460,180.00,132.14,47.85,384.71
480,180.00,139.28,40.71,336.74
500,180.00,139.28,40.71,338.78
520,180.00,139.28,40.71,340.82
540,180.00,135.71,44.28,368.03
560,180.00,139.28,40.71,345.07
580,180.00,139.28,40.71,347.10
600,180.00,139.28,40.71,349.14
620,180.00,139.28,40.71,351.17
640,180.00,135.71,44.28,378.39
660,180.00,142.85,37.14,330.24
680,180.00,142.85,37.14,332.10
700,180.00,135.71,44.28,384.32
720,180.00,139.28,40.71,361.35
740,180.00,142.85,37.14,338.21
760,180.00,139.28,40.71,365.24
780,180.00,142.85,37.14,342.10
800,180.00,139.28,40.71,369.14
820,180.00,139.28,40.71,371.17
840,180.00,142.85,37.14,348.03
860,180.00,146.42,33.57,324.71
880,180.00,139.28,40.71,376.74
900,180.00,135.71,44.28,403.96
920,180.00,146.42,33.57,330.64
940,180.00,146.42,33.57,332.32
960,180.00,139.28,40.71,384.35
980,180.00,139.28,40.71,386.39
1000,180.00,146.42,33.57,338.07
1020,180.00,146.42,33.57,339.74
1040,180.00,139.28,40.71,391.78
1060,180.00,139.28,40.71,393.82
1080,180.00,150.00,30.00,320.32
1100,180.00,146.42,33.57,346.99
1120,180.00,139.28,40.71,399.03
1140,180.00,142.85,37.14,375.89
1160,180.00,146.42,33.57,352.57
1180,180.00,146.42,33.57,354.24
1200,180.00,142.85,37.14,381.10
1220,180.00,146.42,33.57,357.78
1240,180.00,146.42,33.57,359.46
1260,180.00,142.85,37.14,386.32
1280,180.00,146.42,33.57,362.99
1300,180.00,146.42,33.57,364.67
1320,180.00,146.42,33.57,366.35
1340,180.00,146.42,33.57,368.03
1360,180.00,146.42,33.57,369.71
1380,180.00,146.42,33.57,371.39
1400,180.00,146.42,33.57,373.07
1420,180.00,146.42,33.57,374.74
1440,180.00,150.00,30.00,351.24
1460,180.00,146.42,33.57,377.92
1480,180.00,146.42,33.57,379.60
1500,180.00,146.42,33.57,381.28
1520,180.00,150.00,30.00,357.78
1540,180.00,146.42,33.57,384.46
1560,180.00,150.00,30.00,360.96
1580,180.00,146.42,33.57,387.64
1600,180.00,150.00,30.00,364.14
1620,180.00,146.42,33.57,390.82
