time_ms,target_rpm,measured_rpm,error,pwm
20,180.00,64.28,115.71,818.09
40,180.00,117.85,62.14,447.44
60,180.00,192.85,-12.85,0.00
80,180.00,146.42,33.57,249.79
100,180.00,103.57,76.42,555.14
120,180.00,132.14,47.85,358.49
140,180.00,164.28,15.71,134.59
160,180.00,135.71,44.28,337.69
180,180.00,117.85,62.14,467.04
200,180.00,142.85,37.14,294.64
220,180.00,153.57,26.42,221.50
240,180.00,135.71,44.28,349.59
260,180.00,125.00,54.99,428.44
280,180.00,146.42,33.57,280.79
300,180.00,150.00,30.00,257.89
320,180.00,132.14,47.85,386.24
340,180.00,135.71,44.28,364.34
360,180.00,146.42,33.57,291.69
380,180.00,146.42,33.57,294.04
400,180.00,135.71,44.28,372.14
420,180.00,135.71,44.28,375.24
440,180.00,157.14,22.85,226.85
460,180.00,139.28,40.71,354.69
480,180.00,128.57,51.42,433.29
500,180.00,150.00,30.00,285.39
520,180.00,153.57,26.42,262.25
540,180.00,135.71,44.28,390.34
560,180.00,135.71,44.28,393.44
580,180.00,150.00,30.00,295.54
600,180.00,150.00,30.00,297.64
620,180.00,139.28,40.71,375.49
640,180.00,142.85,37.14,353.09
660,180.00,153.57,26.42,279.95
680,180.00,139.28,40.71,382.79
700,180.00,142.85,37.14,360.39
720,180.00,150.00,30.00,312.50
740,180.00,150.00,30.00,314.60
760,180.00,139.28,40.71,392.44
780,180.00,150.00,30.00,319.54
800,180.00,146.42,33.57,346.89
820,180.00,146.42,33.57,349.25
840,180.00,146.42,33.57,351.59
860,180.00,150.00,30.00,328.70
880,180.00,150.00,30.00,330.79
900,180.00,142.85,37.14,383.39
920,180.00,150.00,30.00,335.49
940,180.00,150.00,30.00,337.59
960,180.00,150.00,30.00,339.69
980,180.00,146.42,33.57,367.04
1000,180.00,150.00,30.00,344.14
1020,180.00,150.00,30.00,346.24
1040,180.00,150.00,30.00,348.34
1060,180.00,146.42,33.57,375.69
1080,180.00,160.71,19.28,277.04
1100,180.00,146.42,33.57,379.39
1120,180.00,142.85,37.14,406.99
1140,180.00,157.14,22.85,308.59
1160,180.00,167.85,12.14,234.44
1180,180.00,135.71,44.28,462.54
1200,180.00,139.28,40.71,440.39
1220,180.00,167.85,12.14,241.24
1240,180.00,157.14,22.85,317.84
1260,180.00,142.85,37.14,420.44
1280,180.00,150.00,30.00,372.54
1300,180.00,157.14,22.85,324.14
1320,180.00,157.14,22.85,325.74
1340,180.00,146.42,33.57,403.09
1360,180.00,153.57,26.42,354.94
1380,180.00,157.14,22.85,331.54
1400,180.00,153.57,26.42,358.39
1420,180.00,150.00,30.00,385.49
1440,180.00,157.14,22.85,337.09
1460,180.00,157.14,22.85,338.69
1480,180.00,150.00,30.00,390.79
1500,180.00,153.57,26.42,367.64
1520,180.00,157.14,22.85,344.24
1540,180.00,157.14,22.85,345.84
1560,180.00,153.57,26.42,372.69
1580,180.00,157.14,22.85,349.29
1600,180.00,157.14,22.85,350.89
1620,180.00,153.57,26.42,377.74
1640,180.00,153.57,26.42,379.59
1660,180.00,160.71,19.28,330.94
1680,180.00,157.14,22.85,357.54
1700,180.00,150.00,30.00,409.64
1720,180.00,160.71,19.28,335.99
1740,180.00,157.14,22.85,362.59
1760,180.00,153.57,26.42,389.44
1780,180.00,157.14,22.85,366.04
1800,180.00,160.71,19.28,342.39
1820,180.00,157.14,22.85,368.99
1840,180.00,153.57,26.42,395.84
1860,180.00,160.71,19.28,347.19
1880,180.00,160.71,19.28,348.54
1900,180.00,157.14,22.85,375.14
1920,180.00,153.57,26.42,401.99
1940,180.00,167.85,12.14,302.84
1960,180.00,160.71,19.28,354.19
1980,180.00,150.00,30.00,431.29
2000,180.00,160.71,19.28,357.64
2020,180.00,164.28,15.71,333.74
2040,180.00,164.28,15.71,334.84
2060,180.00,153.57,26.42,411.69
2080,180.00,157.14,22.85,388.29
2100,180.00,167.85,12.14,314.14
2120,180.00,160.71,19.28,365.49
2140,180.00,153.57,26.42,417.34
2160,180.00,160.71,19.28,368.69
2180,180.00,167.85,12.14,319.54
2200,180.00,160.71,19.28,370.89
2220,180.00,157.14,22.85,397.49
2240,180.00,160.71,19.28,373.84
2260,180.00,160.71,19.28,375.19
2280,180.00,164.28,15.71,351.29
2300,180.00,160.71,19.28,377.64
2320,180.00,153.57,26.42,429.49
2340,180.00,167.85,12.14,330.34
2360,180.00,171.42,8.57,305.94
2380,180.00,153.57,26.42,432.79
2400,180.00,153.57,26.42,434.64
2420,180.00,171.42,8.57,310.24
2440,180.00,167.85,12.14,336.09
2460,180.00,153.57,26.42,437.94
2480,180.00,160.71,19.28,389.29
2500,180.00,167.85,12.14,340.14
2520,180.00,164.28,15.71,366.24
2540,180.00,157.14,22.85,417.84
2560,180.00,164.28,15.71,368.94
2580,180.00,167.85,12.14,344.79
2600,180.00,167.85,12.14,345.64
2620,180.00,157.14,22.85,422.24
2640,180.00,164.28,15.71,373.34
2660,180.00,167.85,12.14,349.19
2680,180.00,160.71,19.28,400.54
2700,180.00,160.71,19.28,401.89
2720,180.00,171.42,8.57,327.49
2740,180.00,164.28,15.71,378.59
2760,180.00,157.14,22.85,430.19
2780,180.00,167.85,12.14,356.04
2800,180.00,171.42,8.57,331.64
2820,180.00,157.14,22.85,433.24
2840,180.00,160.71,19.28,409.59
2860,180.00,175.00,5.00,309.94
2880,180.00,164.28,15.71,386.04
2900,180.00,160.71,19.28,412.39
2920,180.00,167.85,12.14,363.24
2940,180.00,167.85,12.14,364.09
2960,180.00,167.85,12.14,364.94
2980,180.00,164.28,15.71,391.04
3000,180.00,164.28,15.71,392.14
3020,180.00,171.42,8.57,342.74
3040,180.00,164.28,15.71,393.84
3060,180.00,164.28,15.71,394.94
3080,180.00,164.28,15.71,396.04
3100,180.00,164.28,15.71,397.14
3120,180.00,167.85,12.14,372.99
3140,180.00,164.28,15.71,399.09
3160,180.00,167.85,12.14,374.94
3180,180.00,167.85,12.14,375.79
3200,180.00,164.28,15.71,401.89
3220,180.00,167.85,12.14,377.74
3240,180.00,167.85,12.14,378.59
3260,180.00,164.28,15.71,404.69
3280,180.00,167.85,12.14,380.54
3300,180.00,167.85,12.14,381.39
3320,180.00,164.28,15.71,407.49
3340,180.00,167.85,12.14,383.34
3360,180.00,171.42,8.57,358.94
3380,180.00,164.28,15.71,410.04
3400,180.00,167.85,12.14,385.89
3420,180.00,167.85,12.14,386.74
3440,180.00,167.85,12.14,387.59
3460,180.00,164.28,15.71,413.69
3480,180.00,167.85,12.14,389.54
3500,180.00,167.85,12.14,390.39
3520,180.00,167.85,12.14,391.24
3540,180.00,167.85,12.14,392.09
3560,180.00,164.28,15.71,418.19
3580,180.00,167.85,12.14,394.04
3600,180.00,167.85,12.14,394.89
3620,180.00,171.42,8.57,370.49
3640,180.00,167.85,12.14,396.34
3660,180.00,164.28,15.71,422.44
3680,180.00,171.42,8.57,373.04
3700,180.00,167.85,12.14,398.89
3720,180.00,171.42,8.57,374.49
3740,180.00,167.85,12.14,400.34
3760,180.00,167.85,12.14,401.19
3780,180.00,171.42,8.57,376.79
3800,180.00,171.42,8.57,377.39
3820,180.00,167.85,12.14,403.24
3840,180.00,171.42,8.57,378.84
3860,180.00,167.85,12.14,404.69
3880,180.00,171.42,8.57,380.29
3900,180.00,171.42,8.57,380.89
3920,180.00,171.42,8.57,381.49
3940,180.00,164.28,15.71,432.59
3960,180.00,171.42,8.57,383.19
3980,180.00,171.42,8.57,383.79
4000,180.00,167.85,12.14,409.64
4020,180.00,171.42,8.57,385.24
4040,180.00,171.42,8.57,385.84
4060,180.00,171.42,8.57,386.44
4080,180.00,171.42,8.57,387.04
4100,180.00,164.28,15.71,438.14
4120,180.00,167.85,12.14,413.99
4140,180.00,175.00,5.00,364.34
4160,180.00,175.00,5.00,364.69
4180,180.00,164.28,15.71,440.79
4200,180.00,167.85,12.14,416.64
4220,180.00,175.00,5.00,366.99
4240,180.00,175.00,5.00,367.34
4260,180.00,175.00,5.00,367.69
4280,180.00,164.28,15.71,443.79
4300,180.00,171.42,8.57,394.39
4320,180.00,175.00,5.00,369.74
4340,180.00,175.00,5.00,370.09
4360,180.00,171.42,8.57,395.69
4380,180.00,167.85,12.14,421.54
4400,180.00,167.85,12.14,422.39
4420,180.00,178.57,1.42,347.49
4440,180.00,171.42,8.57,398.09
4460,180.00,164.28,15.71,449.19
4480,180.00,171.42,8.57,399.79
4500,180.00,178.57,1.42,349.89
4520,180.00,171.42,8.57,400.49
4540,180.00,164.28,15.71,451.59
4560,180.00,171.42,8.57,402.19
4580,180.00,175.00,5.00,377.54
4600,180.00,175.00,5.00,377.89
4620,180.00,171.42,8.57,403.49
4640,180.00,167.85,12.14,429.34
4660,180.00,175.00,5.00,379.69
4680,180.00,175.00,5.00,380.04
4700,180.00,171.42,8.57,405.64
4720,180.00,171.42,8.57,406.24
4740,180.00,175.00,5.00,381.59
4760,180.00,175.00,5.00,381.94
4780,180.00,167.85,12.14,432.79
4800,180.00,171.42,8.57,408.39
4820,180.00,178.57,1.42,358.49
4840,180.00,175.00,5.00,383.84
4860,180.00,164.28,15.71,459.94
4880,180.00,171.42,8.57,410.54
4900,180.00,182.14,-2.14,335.39
4920,180.00,171.42,8.57,410.99
4940,180.00,171.42,8.57,411.59
4960,180.00,167.85,12.14,437.44
4980,180.00,178.57,1.42,362.54
5000,180.00,175.00,5.00,387.89
5020,180.00,171.42,8.57,413.49
5040,180.00,171.42,8.57,414.09
5060,180.00,175.00,5.00,389.44
5080,180.00,178.57,1.42,364.54
5100,180.00,178.57,1.42,364.64
5120,180.00,164.28,15.71,465.74
5140,180.00,178.57,1.42,365.84
5160,180.00,178.57,1.42,365.94
5180,180.00,171.42,8.57,416.54
5200,180.00,171.42,8.57,417.14
5220,180.00,175.00,5.00,392.49
5240,180.00,175.00,5.00,392.84
5260,180.00,175.00,5.00,393.19
5280,180.00,178.57,1.42,368.29
5300,180.00,167.85,12.14,444.14
5320,180.00,175.00,5.00,394.49
5340,180.00,178.57,1.42,369.59
5360,180.00,175.00,5.00,394.94
5380,180.00,167.85,12.14,445.79
5400,180.00,178.57,1.42,370.89
5420,180.00,178.57,1.42,370.99
5440,180.00,171.42,8.57,421.59
5460,180.00,171.42,8.57,422.19
5480,180.00,178.57,1.42,372.29
5500,180.00,175.00,5.00,397.64
5520,180.00,175.00,5.00,397.99
5540,180.00,171.42,8.57,423.59
5560,180.00,178.57,1.42,373.69
5580,180.00,175.00,5.00,399.04
5600,180.00,175.00,5.00,399.39
5620,180.00,175.00,5.00,399.74
5640,180.00,175.00,5.00,400.09
5660,180.00,171.42,8.57,425.69
5680,180.00,178.57,1.42,375.79
5700,180.00,175.00,5.00,401.14
5720,180.00,175.00,5.00,401.49
5740,180.00,175.00,5.00,401.84
5760,180.00,175.00,5.00,402.19
5780,180.00,175.00,5.00,402.54
5800,180.00,175.00,5.00,402.89
5820,180.00,175.00,5.00,403.24
5840,180.00,185.71,-5.71,327.84
5860,180.00,167.85,12.14,453.69
5880,180.00,164.28,15.71,479.79
5900,180.00,185.71,-5.71,329.39
5920,180.00,182.14,-2.14,354.24
5940,180.00,164.28,15.71,480.34
5960,180.00,175.00,5.00,405.69
5980,180.00,182.14,-2.14,355.54
6000,180.00,178.57,1.42,380.64
6020,180.00,171.42,8.57,431.24
6040,180.00,171.42,8.57,431.84
6060,180.00,178.57,1.42,381.94
6080,180.00,178.57,1.42,382.04
6100,180.00,182.14,-2.14,356.89
6120,180.00,167.85,12.14,457.74
6140,180.00,175.00,5.00,408.09
6160,180.00,182.14,-2.14,357.94
6180,180.00,175.00,5.00,408.29
