time_ms,target_rpm,measured_rpm,error,pwm
20,180.00,0.00,180.00,999.00
40,180.00,85.71,94.28,662.82
60,180.00,200.00,-20.00,0.00
80,180.00,167.85,12.14,88.19
100,180.00,96.42,83.57,590.70
120,180.00,110.71,69.28,492.77
140,180.00,164.28,15.71,118.24
160,180.00,146.42,33.57,244.25
180,180.00,114.28,65.71,471.22
200,180.00,125.00,54.99,397.87
220,180.00,146.42,33.57,248.88
240,180.00,142.85,37.14,274.99
260,180.00,125.00,54.99,401.64
280,180.00,132.14,47.85,353.08
300,180.00,139.28,40.71,304.30
320,180.00,139.28,40.71,305.52
340,180.00,128.57,51.42,382.07
360,180.00,135.71,44.28,333.39
380,180.00,139.28,40.71,309.62
400,180.00,135.71,44.28,335.94
420,180.00,132.14,47.85,362.38
440,180.00,135.71,44.28,338.71
460,180.00,135.71,44.28,340.04
480,180.00,139.28,40.71,316.26
500,180.00,135.71,44.28,342.59
520,180.00,132.14,47.85,369.02
540,180.00,139.28,40.71,320.24
560,180.00,139.28,40.71,321.47
580,180.00,132.14,47.85,372.90
600,180.00,139.28,40.71,324.12
620,180.00,139.28,40.71,325.34
640,180.00,135.71,44.28,351.67
660,180.00,132.14,47.85,378.11
680,180.00,142.85,37.14,304.22
700,180.00,139.28,40.71,330.44
720,180.00,132.14,47.85,381.88
740,180.00,139.28,40.71,333.10
760,180.00,142.85,37.14,309.22
780,180.00,135.71,44.28,360.54
800,180.00,135.71,44.28,361.87
820,180.00,139.28,40.71,338.09
840,180.00,139.28,40.71,339.32
860,180.00,139.28,40.71,340.54
880,180.00,139.28,40.71,341.76
900,180.00,135.71,44.28,368.09
920,180.00,139.28,40.71,344.31
940,180.00,142.85,37.14,320.42
960,180.00,139.28,40.71,346.64
980,180.00,135.71,44.28,372.97
1000,180.00,139.28,40.71,349.19
1020,180.00,142.85,37.14,325.31
1040,180.00,142.85,37.14,326.42
1060,180.00,135.71,44.28,377.75
1080,180.00,135.71,44.28,379.08
1100,180.00,146.42,33.57,305.09
1120,180.00,142.85,37.14,331.20
1140,180.00,135.71,44.28,382.53
1160,180.00,135.71,44.28,383.86
1180,180.00,146.42,33.57,309.87
1200,180.00,146.42,33.57,310.87
1220,180.00,132.14,47.85,412.31
1240,180.00,142.85,37.14,338.42
1260,180.00,142.85,37.14,339.54
1280,180.00,142.85,37.14,340.65
1300,180.00,139.28,40.71,366.87
1320,180.00,139.28,40.71,368.09
1340,180.00,146.42,33.57,319.10
1360,180.00,139.28,40.71,370.32
1380,180.00,142.85,37.14,346.44
1400,180.00,142.85,37.14,347.55
1420,180.00,139.28,40.71,373.77
1440,180.00,146.42,33.57,324.78
1460,180.00,139.28,40.71,376.00
1480,180.00,142.85,37.14,352.12
1500,180.00,142.85,37.14,353.23
1520,180.00,146.42,33.57,329.24
1540,180.00,139.28,40.71,380.46
1560,180.00,142.85,37.14,356.57
1580,180.00,146.42,33.57,332.58
1600,180.00,142.85,37.14,358.69
1620,180.00,142.85,37.14,359.81
1640,180.00,139.28,40.71,386.03
1660,180.00,146.42,33.57,337.04
1680,180.00,150.00,30.00,312.94
1700,180.00,139.28,40.71,389.16
1720,180.00,139.28,40.71,390.38
1740,180.00,146.42,33.57,341.39
1760,180.00,150.00,30.00,317.29
1780,180.00,139.28,40.71,393.51
1800,180.00,142.85,37.14,369.62
1820,180.00,146.42,33.57,345.63
1840,180.00,146.42,33.57,346.64
1860,180.00,146.42,33.57,347.64
1880,180.00,139.28,40.71,398.87
1900,180.00,146.42,33.57,349.87
1920,180.00,150.00,30.00,325.77
1940,180.00,142.85,37.14,376.89
1960,180.00,142.85,37.14,378.00
1980,180.00,146.42,33.57,354.01
2000,180.00,150.00,30.00,329.91
2020,180.00,142.85,37.14,381.02
2040,180.00,146.42,33.57,357.03
2060,180.00,146.42,33.57,358.04
2080,180.00,142.85,37.14,384.15
2100,180.00,150.00,30.00,335.05
2120,180.00,146.42,33.57,361.06
2140,180.00,146.42,33.57,362.07
2160,180.00,142.85,37.14,388.18
2180,180.00,150.00,30.00,339.08
2200,180.00,150.00,30.00,339.98
2220,180.00,142.85,37.14,391.09
2240,180.00,142.85,37.14,392.21
2260,180.00,153.57,26.42,318.00
2280,180.00,150.00,30.00,343.90
2300,180.00,139.28,40.71,420.12
2320,180.00,150.00,30.00,346.02
2340,180.00,150.00,30.00,346.92
2360,180.00,146.42,33.57,372.93
2380,180.00,146.42,33.57,373.94
2400,180.00,146.42,33.57,374.94
2420,180.00,150.00,30.00,350.84
2440,180.00,150.00,30.00,351.74
2460,180.00,146.42,33.57,377.75
2480,180.00,146.42,33.57,378.76
2500,180.00,150.00,30.00,354.66
2520,180.00,150.00,30.00,355.56
2540,180.00,150.00,30.00,356.46
2560,180.00,142.85,37.14,407.57
2580,180.00,150.00,30.00,358.47
2600,180.00,153.57,26.42,334.27
2620,180.00,146.42,33.57,385.27
2640,180.00,146.42,33.57,386.28
2660,180.00,153.57,26.42,337.07
2680,180.00,150.00,30.00,362.97
2700,180.00,146.42,33.57,388.98
2720,180.00,146.42,33.57,389.99
2740,180.00,153.57,26.42,340.78
2760,180.00,150.00,30.00,366.68
2780,180.00,150.00,30.00,367.58
2800,180.00,146.42,33.57,393.59
2820,180.00,150.00,30.00,369.49
2840,180.00,153.57,26.42,345.28
2860,180.00,150.00,30.00,371.18
2880,180.00,146.42,33.57,397.19
2900,180.00,153.57,26.42,347.98
2920,180.00,150.00,30.00,373.88
2940,180.00,150.00,30.00,374.78
2960,180.00,150.00,30.00,375.68
2980,180.00,150.00,30.00,376.58
3000,180.00,153.57,26.42,352.37
3020,180.00,150.00,30.00,378.27
3040,180.00,150.00,30.00,379.17
3060,180.00,153.57,26.42,354.97
3080,180.00,150.00,30.00,380.87
3100,180.00,150.00,30.00,381.77
3120,180.00,150.00,30.00,382.67
3140,180.00,153.57,26.42,358.46
3160,180.00,153.57,26.42,359.25
3180,180.00,150.00,30.00,385.15
3200,180.00,150.00,30.00,386.05
3220,180.00,153.57,26.42,361.84
3240,180.00,153.57,26.42,362.64
3260,180.00,153.57,26.42,363.43
3280,180.00,150.00,30.00,389.33
3300,180.00,150.00,30.00,390.23
3320,180.00,153.57,26.42,366.02
3340,180.00,157.14,22.85,341.71
3360,180.00,150.00,30.00,392.61
3380,180.00,150.00,30.00,393.51
3400,180.00,153.57,26.42,369.30
3420,180.00,157.14,22.85,344.99
3440,180.00,150.00,30.00,395.89
3460,180.00,150.00,30.00,396.79
3480,180.00,153.57,26.42,372.58
3500,180.00,157.14,22.85,348.27
3520,180.00,153.57,26.42,374.06
3540,180.00,150.00,30.00,399.96
3560,180.00,153.57,26.42,375.75
3580,180.00,157.14,22.85,351.44
3600,180.00,150.00,30.00,402.34
3620,180.00,153.57,26.42,378.13
3640,180.00,153.57,26.42,378.92
3660,180.00,157.14,22.85,354.61
3680,180.00,150.00,30.00,405.51
3700,180.00,157.14,22.85,356.19
3720,180.00,153.57,26.42,381.99
3740,180.00,150.00,30.00,407.89
3760,180.00,157.14,22.85,358.57
3780,180.00,157.14,22.85,359.26
3800,180.00,150.00,30.00,410.16
3820,180.00,153.57,26.42,385.95
3840,180.00,160.71,19.28,336.53
3860,180.00,153.57,26.42,387.32
3880,180.00,150.00,30.00,413.22
3900,180.00,157.14,22.85,363.91
3920,180.00,157.14,22.85,364.59
3940,180.00,153.57,26.42,390.39
3960,180.00,153.57,26.42,391.18
3980,180.00,157.14,22.85,366.87
4000,180.00,157.14,22.85,367.55
4020,180.00,150.00,30.00,418.45
4040,180.00,157.14,22.85,369.14
4060,180.00,160.71,19.28,344.72
4080,180.00,150.00,30.00,420.62
4100,180.00,157.14,22.85,371.30
4120,180.00,157.14,22.85,371.99
4140,180.00,153.57,26.42,397.78
4160,180.00,157.14,22.85,373.47
4180,180.00,157.14,22.85,374.15
4200,180.00,153.57,26.42,399.94
4220,180.00,157.14,22.85,375.63
4240,180.00,157.14,22.85,376.32
4260,180.00,153.57,26.42,402.11
4280,180.00,157.14,22.85,377.79
4300,180.00,160.71,19.28,353.37
4320,180.00,153.57,26.42,404.17
4340,180.00,153.57,26.42,404.96
4360,180.00,160.71,19.28,355.54
4380,180.00,157.14,22.85,381.22
4400,180.00,153.57,26.42,407.02
4420,180.00,157.14,22.85,382.70
4440,180.00,160.71,19.28,358.28
4460,180.00,157.14,22.85,383.97
4480,180.00,153.57,26.42,409.76
4500,180.00,157.14,22.85,385.44
4520,180.00,160.71,19.28,361.02
4540,180.00,153.57,26.42,411.82
4560,180.00,160.71,19.28,362.39
4580,180.00,157.14,22.85,388.08
4600,180.00,153.57,26.42,413.87
4620,180.00,160.71,19.28,364.45
4640,180.00,160.71,19.28,365.03
4660,180.00,153.57,26.42,415.82
4680,180.00,157.14,22.85,391.51
4700,180.00,160.71,19.28,367.09
4720,180.00,160.71,19.28,367.67
4740,180.00,153.57,26.42,418.46
4760,180.00,157.14,22.85,394.14
4780,180.00,160.71,19.28,369.72
4800,180.00,160.71,19.28,370.30
4820,180.00,157.14,22.85,395.99
4840,180.00,153.57,26.42,421.78
4860,180.00,160.71,19.28,372.36
4880,180.00,164.28,15.71,347.83
4900,180.00,157.14,22.85,398.52
4920,180.00,153.57,26.42,424.31
4940,180.00,160.71,19.28,374.89
4960,180.00,160.71,19.28,375.47
4980,180.00,160.71,19.28,376.04
5000,180.00,157.14,22.85,401.73
5020,180.00,157.14,22.85,402.42
5040,180.00,160.71,19.28,377.99
5060,180.00,160.71,19.28,378.57
5080,180.00,160.71,19.28,379.15
5100,180.00,153.57,26.42,429.94
5120,180.00,160.71,19.28,380.52
