time_ms,target_rpm,measured_rpm,error,pwm
20,180.00,89.28,90.71,635.45
40,180.00,121.42,58.57,410.74
60,180.00,157.14,22.85,160.86
80,180.00,142.85,37.14,261.04
100,180.00,114.28,65.71,461.37
120,180.00,128.57,51.42,361.63
140,180.00,150.00,30.00,211.78
160,180.00,132.14,47.85,337.02
180,180.00,121.42,58.57,412.31
200,180.00,135.71,44.28,312.53
220,180.00,139.28,40.71,287.73
240,180.00,132.14,47.85,337.97
260,180.00,128.57,51.42,363.23
280,180.00,132.14,47.85,338.47
300,180.00,139.28,40.71,288.67
320,180.00,132.14,47.85,338.91
340,180.00,128.57,51.42,364.17
360,180.00,132.14,47.85,339.41
380,180.00,139.28,40.71,289.61
400,180.00,132.14,47.85,339.85
420,180.00,128.57,51.42,365.11
440,180.00,132.14,47.85,340.35
460,180.00,139.28,40.71,290.55
480,180.00,132.14,47.85,340.79
500,180.00,128.57,51.42,366.05
520,180.00,132.14,47.85,341.29
540,180.00,139.28,40.71,291.49
560,180.00,132.14,47.85,341.73
580,180.00,128.57,51.42,366.99
600,180.00,132.14,47.85,342.23
620,180.00,139.28,40.71,292.43
640,180.00,128.57,51.42,367.69
660,180.00,132.14,47.85,342.93
680,180.00,135.71,44.28,318.15
700,180.00,132.14,47.85,343.39
720,180.00,132.14,47.85,343.63
740,180.00,135.71,44.28,318.85
760,180.00,132.14,47.85,344.09
780,180.00,132.14,47.85,344.33
800,180.00,135.71,44.28,319.55
820,180.00,132.14,47.85,344.79
840,180.00,132.14,47.85,345.03
860,180.00,135.71,44.28,320.25
880,180.00,132.14,47.85,345.49
900,180.00,132.14,47.85,345.73
920,180.00,135.71,44.28,320.95
940,180.00,132.14,47.85,346.19
960,180.00,132.14,47.85,346.43
980,180.00,135.71,44.28,321.65
1000,180.00,132.14,47.85,346.89
1020,180.00,132.14,47.85,347.13
1040,180.00,135.71,44.28,322.35
1060,180.00,132.14,47.85,347.59
1080,180.00,132.14,47.85,347.83
1100,180.00,135.71,44.28,323.05
1120,180.00,132.14,47.85,348.29
1140,180.00,132.14,47.85,348.53
1160,180.00,135.71,44.28,323.75
1180,180.00,132.14,47.85,348.99
1200,180.00,132.14,47.85,349.23
1220,180.00,135.71,44.28,324.45
1240,180.00,132.14,47.85,349.69
1260,180.00,132.14,47.85,349.93
1280,180.00,135.71,44.28,325.15
1300,180.00,132.14,47.85,350.39
1320,180.00,135.71,44.28,325.61
1340,180.00,132.14,47.85,350.85
1360,180.00,132.14,47.85,351.09
1380,180.00,135.71,44.28,326.31
1400,180.00,135.71,44.28,326.53
1420,180.00,128.57,51.42,376.79
1440,180.00,135.71,44.28,327.01
1460,180.00,135.71,44.28,327.23
1480,180.00,132.14,47.85,352.47
1500,180.00,128.57,51.42,377.73
1520,180.00,139.28,40.71,302.93
1540,180.00,135.71,44.28,328.15
1560,180.00,132.14,47.85,353.39
1580,180.00,128.57,51.42,378.65
1600,180.00,139.28,40.71,303.85
1620,180.00,135.71,44.28,329.07
1640,180.00,128.57,51.42,379.33
1660,180.00,135.71,44.28,329.55
1680,180.00,135.71,44.28,329.77
1700,180.00,132.14,47.85,355.01
1720,180.00,132.14,47.85,355.25
1740,180.00,135.71,44.28,330.47
1760,180.00,135.71,44.28,330.69
1780,180.00,128.57,51.42,380.95
1800,180.00,135.71,44.28,331.17
1820,180.00,135.71,44.28,331.39
1840,180.00,135.71,44.28,331.62
1860,180.00,132.14,47.85,356.86
1880,180.00,135.71,44.28,332.08
1900,180.00,132.14,47.85,357.32
1920,180.00,135.71,44.28,332.54
1940,180.00,135.71,44.28,332.76
1960,180.00,132.14,47.85,358.00
1980,180.00,132.14,47.85,358.24
2000,180.00,135.71,44.28,333.46
2020,180.00,135.71,44.28,333.68
2040,180.00,132.14,47.85,358.92
2060,180.00,135.71,44.28,334.14
2080,180.00,135.71,44.28,334.36
2100,180.00,132.14,47.85,359.60
2120,180.00,132.14,47.85,359.84
2140,180.00,135.71,44.28,335.06
2160,180.00,135.71,44.28,335.28
2180,180.00,135.71,44.28,335.51
2200,180.00,132.14,47.85,360.74
2220,180.00,132.14,47.85,360.98
2240,180.00,139.28,40.71,311.19
2260,180.00,132.14,47.85,361.43
2280,180.00,135.71,44.28,336.65
2300,180.00,135.71,44.28,336.87
2320,180.00,132.14,47.85,362.11
2340,180.00,135.71,44.28,337.33
2360,180.00,135.71,44.28,337.55
2380,180.00,135.71,44.28,337.77
2400,180.00,132.14,47.85,363.01
2420,180.00,135.71,44.28,338.23
2440,180.00,135.71,44.28,338.46
2460,180.00,135.71,44.28,338.68
2480,180.00,132.14,47.85,363.92
2500,180.00,135.71,44.28,339.14
2520,180.00,135.71,44.28,339.36
2540,180.00,135.71,44.28,339.58
2560,180.00,135.71,44.28,339.80
2580,180.00,132.14,47.85,365.04
2600,180.00,135.71,44.28,340.26
